"groupcategory","group","partnername","partnercode"
".Global region",".World","Afghanistan","0660"
".Global region",".World","Albania","0070"
".Global region",".World","Algeria","0208"
".Global region",".World","Amr. Ocean.","0810"
".Global region",".World","Amr. Samoa","0830"
".Global region",".World","Andorra","0043"
".Global region",".World","Angola","0330"
".Global region",".World","Anguilla","0446"
".Global region",".World","Antarctica","0891"
".Global region",".World","Antigua-Bar.","0459"
".Global region",".World","Argentina","0528"
".Global region",".World","Armenia","0077"
".Global region",".World","Aruba","0474"
".Global region",".World","Austr. Ocean.","0802"
".Global region",".World","Australia","0800"
".Global region",".World","Austria","0038"
".Global region",".World","Azerbaijan","0078"
".Global region",".World","Bahamas","0453"
".Global region",".World","Bahrain","0640"
".Global region",".World","Bangladesh","0666"
".Global region",".World","Barbados","0469"
".Global region",".World","Belarus","0073"
".Global region",".World","Belgium","0017"
".Global region",".World","Belize","0421"
".Global region",".World","Benin","0284"
".Global region",".World","Bermuda","0413"
".Global region",".World","Bhutan","0675"
".Global region",".World","Bolivia","0516"
".Global region",".World","Bonaire","0477"
".Global region",".World","Bosnia Herz.","0093"
".Global region",".World","Botswana","0391"
".Global region",".World","Bouvet Island","0892"
".Global region",".World","Br. In. Ocn. T.","0357"
".Global region",".World","Br. Virg. Isds","0468"
".Global region",".World","Brazil","0508"
".Global region",".World","Brunei Dar.","0703"
".Global region",".World","Bulgaria","0068"
".Global region",".World","Burkina Faso","0236"
".Global region",".World","Burundi","0328"
".Global region",".World","Cambodia","0696"
".Global region",".World","Cameroon","0302"
".Global region",".World","Canada","0404"
".Global region",".World","Canary is.","0021"
".Global region",".World","Canary Is.","0202"
".Global region",".World","Cape Verde","0247"
".Global region",".World","Cayman Isds","0463"
".Global region",".World","Cent. Afr. Rp.","0306"
".Global region",".World","Chad","0244"
".Global region",".World","Chile","0512"
".Global region",".World","China","0720"
".Global region",".World","Christmas is.","0834"
".Global region",".World","Cocos Isds","0833"
".Global region",".World","Colombia","0480"
".Global region",".World","Comoros","0375"
".Global region",".World","Congo","0318"
".Global region",".World","Congo DR","0322"
".Global region",".World","Cook Is.","0837"
".Global region",".World","Costa Rica","0436"
".Global region",".World","C?te d'Ivoire","0272"
".Global region",".World","Croatia","0092"
".Global region",".World","Cuba","0448"
".Global region",".World","Curacao","0475"
".Global region",".World","Cyprus","0600"
".Global region",".World","Czech Rep.","0061"
".Global region",".World","Denmark","0008"
".Global region",".World","Djibouti","0338"
".Global region",".World","Dominica","0460"
".Global region",".World","Domin-Rep.","0456"
".Global region",".World","Ecuador","0500"
".Global region",".World","Egypt","0220"
".Global region",".World","El Salvador","0428"
".Global region",".World","Eq. Guinea","0310"
".Global region",".World","Eritrea","0336"
".Global region",".World","Estonia","0053"
".Global region",".World","Ethiopia","0334"
".Global region",".World","Faeroe Isds","0041"
".Global region",".World","Falkland is.","0529"
".Global region",".World","Fiji","0815"
".Global region",".World","Finland","0032"
".Global region",".World","France","0001"
".Global region",".World","French Guiana","0496"
".Global region",".World","French S. Ter.","0894"
".Global region",".World","Frnch-Plyns.","0822"
".Global region",".World","Gabon","0314"
".Global region",".World","Gambia","0252"
".Global region",".World","Gaza & Jer.","0625"
".Global region",".World","Georgia","0076"
".Global region",".World","Germany","0004"
".Global region",".World","Ghana","0276"
".Global region",".World","Gibraltar","0044"
".Global region",".World","Greece","0009"
".Global region",".World","Greenland","0406"
".Global region",".World","Grenada","0473"
".Global region",".World","Guadeloupe","0458"
".Global region",".World","Guam","0831"
".Global region",".World","Guatemala","0416"
".Global region",".World","Guinea","0260"
".Global region",".World","Guinea-Biss.","0257"
".Global region",".World","Guyana","0488"
".Global region",".World","Haiti","0452"
".Global region",".World","Heard is. McD.","0835"
".Global region",".World","Honduras","0424"
".Global region",".World","Hong Kong","0740"
".Global region",".World","Hungary","0064"
".Global region",".World","Iceland","0024"
".Global region",".World","India","0664"
".Global region",".World","Indonesia","0700"
".Global region",".World","Iran","0616"
".Global region",".World","Iraq","0612"
".Global region",".World","Ireland","0007"
".Global region",".World","Israel","0624"
".Global region",".World","Italy","0005"
".Global region",".World","Jamaica","0464"
".Global region",".World","Japan","0732"
".Global region",".World","Jordan","0628"
".Global region",".World","Kazakhstan","0079"
".Global region",".World","Kenya","0346"
".Global region",".World","Kiribati","0812"
".Global region",".World","Kosovo","0095"
".Global region",".World","Kuwait","0636"
".Global region",".World","Kyrgyzstan","0083"
".Global region",".World","Laos","0684"
".Global region",".World","Latvia","0054"
".Global region",".World","Lebanon","0604"
".Global region",".World","Lesotho","0395"
".Global region",".World","Liberia","0268"
".Global region",".World","Libya","0216"
".Global region",".World","Liechtenst.","0037"
".Global region",".World","Lithuania","0055"
".Global region",".World","Luxembrg.","0018"
".Global region",".World","Macao","0743"
".Global region",".World","Macedonia","0096"
".Global region",".World","Madagascar","0370"
".Global region",".World","Malawi","0386"
".Global region",".World","Malaysia","0701"
".Global region",".World","Maldives","0667"
".Global region",".World","Mali","0232"
".Global region",".World","Malta","0046"
".Global region",".World","Marshall Is.","0824"
".Global region",".World","Martinique","0462"
".Global region",".World","Mauritania","0228"
".Global region",".World","Mauritius","0373"
".Global region",".World","Mayotte","0377"
".Global region",".World","Melilla","0023"
".Global region",".World","Mexico","0412"
".Global region",".World","Micronesia","0823"
".Global region",".World","Moldova","0074"
".Global region",".World","Mongolia","0716"
".Global region",".World","Montenegro","0097"
".Global region",".World","Montserrat","0470"
".Global region",".World","Morocco","0204"
".Global region",".World","Mozamb.","0366"
".Global region",".World","Myanmar","0676"
".Global region",".World","N. Korea","0724"
".Global region",".World","N. Mariana Is.","0820"
".Global region",".World","N. Zealand","0804"
".Global region",".World","Namibia","0389"
".Global region",".World","Nauru","0803"
".Global region",".World","Nepal","0672"
".Global region",".World","Neth. Antilles","0478"
".Global region",".World","Netherlds.","0003"
".Global region",".World","New Caled.","0809"
".Global region",".World","Nicaragua","0432"
".Global region",".World","Niger","0240"
".Global region",".World","Nigeria","0288"
".Global region",".World","Niue","0838"
".Global region",".World","Norfolk is.","0836"
".Global region",".World","Norway","0028"
".Global region",".World","NZ Oceania","0814"
".Global region",".World","Oman","0649"
".Global region",".World","Pakistan","0662"
".Global region",".World","Palau","0825"
".Global region",".World","Panama","0442"
".Global region",".World","Papua N.G.","0801"
".Global region",".World","Paraguay","0520"
".Global region",".World","Peru","0504"
".Global region",".World","Philippines","0708"
".Global region",".World","Pitcairn","0813"
".Global region",".World","Poland","0060"
".Global region",".World","Polar Reg.","0890"
".Global region",".World","Portugal","0010"
".Global region",".World","Qatar","0644"
".Global region",".World","Reunion","0372"
".Global region",".World","Romania","0066"
".Global region",".World","Russia","0075"
".Global region",".World","Rwanda","0324"
".Global region",".World","S. Korea","0728"
".Global region",".World","Saint Lucia","0465"
".Global region",".World","Samoa","0819"
".Global region",".World","San Marino","0047"
".Global region",".World","Sao Tome-Pr.","0311"
".Global region",".World","Saudi Arabia","0632"
".Global region",".World","Senegal","0248"
".Global region",".World","Serbia","0098"
".Global region",".World","Serbia-Mont.","0094"
".Global region",".World","Seychelles","0355"
".Global region",".World","Sierra Leone","0264"
".Global region",".World","Singapore","0706"
".Global region",".World","Slovakia","0063"
".Global region",".World","Slovenia","0091"
".Global region",".World","Solomon Is.","0806"
".Global region",".World","Somalia","0342"
".Global region",".World","South Africa","0388"
".Global region",".World","South Sudan","0225"
".Global region",".World","Spain","0011"
