"order","productcode","productgroup","productsummary","description","eutr"
"AB","44013100","Biomass","Pellets","WOOD PELLETS",1
"AC","44012100","Biomass","Chips","CONIFEROUS WOOD IN CHIPS OR PARTICLES (EXCL. THOSE OF A KIND USED PRINCIPALLY FOR DYING OR TANNING PURPOSES)",1
"AC","44012200","Biomass","Chips","WOOD IN CHIPS OR PARTICLES (EXCL. THOSE OF A KIND USED PRINCIPALLY FOR DYING OR TANNING PURPOSES, AND CONIFEROUS WOOD)",1
"AD","44011000","Biomass","Fuelwood","FUEL WOOD, IN LOGS, BILLETS, TWIGS, FAGGOTS OR SIMILAR FORMS",1
"AD","44011100","Biomass","Fuelwood","FUEL WOOD, IN LOGS, BILLETS, TWIGS, FAGGOTS OR SIMILAR FORMS, CONIFEROUS",1
"AD","44011200","Biomass","Fuelwood","FUEL WOOD, IN LOGS, BILLETS, TWIGS, FAGGOTS OR SIMILAR FORMS, NON-CONIFEROUS",1
"AE","44013010","Biomass","Wood waste","SAWDUST OF WOOD, WHETHER OR NOT AGGLOMERATED IN LOGS, BRIQUETTES, PELLETS OR SIMILAR FORMS",1
"AE","44013020","Biomass","Wood waste","SAWDUST AND WOOD WASTE AND SCRAP, AGGLOMERATED IN PELLETS",1
"AE","44013040","Biomass","Wood waste","SAWDUST OF WOOD, WHETHER OR NOT AGGLOMERATED IN LOGS, BRIQUETTES OR SIMILAR FORMS (EXCL. PELLETS)",1
"AE","44013080","Biomass","Wood waste","WOOD WASTE AND SCRAP, WHETHER OR NOT AGGLOMERATED IN LOGS, BRIQUETTES OR SIMILAR FORMS (EXCL. SAWDUST AND PELLETS)",1
"AE","44013090","Biomass","Wood waste","WOOD WASTE AND SCRAP, WHETHER OR NOT AGGLOMERATED IN LOGS, BRIQUETTES, PELLETS OR SIMILAR FORMS (EXCL. SAWDUST)",1
"AE","44013900","Biomass","Wood waste","SAWDUST AND WOOD WASTE AND SCRAP, AGGLOMERATED IN LOGS, BRIQUETTES OR SIMILAR FORMS (EXCL. PELLETS)",1
"AE","44013910","Biomass","Wood waste","SAWDUST OF WOOD, WHETHER OR NOT AGGLOMERATED IN LOGS, BRIQUETTES OR SIMILAR FORMS (EXCL. PELLETS)",1
"AE","44013920","Biomass","Wood waste","SAWDUST AND WOOD WASTE AND SCRAP, AGGLOMERATED IN LOGS, BRIQUETTES OR SIMILAR FORMS (EXCL. PELLETS)",1
"AE","44013930","Biomass","Wood waste","SAWDUST OF WOOD, NOT AGGLOMERATED",1
"AE","44013980","Biomass","Wood waste","WOOD WASTE AND SCRAP, NOT AGGLOMERATED (EXCL. SAWDUST)",1
"AE","44013990","Biomass","Wood waste","WOOD WASTE AND SCRAP, WHETHER OR NOT AGGLOMERATED IN LOGS, BRIQUETTES OR SIMILAR FORMS (EXCL. SAWDUST AND PELLETS)",1
"AE","44014010","Biomass","Wood waste","SAWDUST, NOT AGGLOMERATED",1
"AE","44014090","Biomass","Wood waste","WOOD WASTE AND SCRAP, NOT AGGLOMERATED (EXCL. SAWDUST)",1
"BB","44034100","Logs","Tropical hardwood","DARK RED MERANTI, LIGHT RED MERANTI AND MERANTI BAKAU WOOD IN THE ROUGH, WHETHER OR NOT STRIPPED OF BARK OR SAPWOOD, OR ROUGHLY SQUARED (EXCL. ROUGH-CUT WOOD FOR WALKING STICKS, UMBRELLAS, TOOL SHAFTS AND THE LIKE; WOOD CUT INTO BOARDS OR BEAMS, ETC.; WOO",1
"BB","44034910","Logs","Tropical hardwood","SAPELLI, ACAJOU D'AFRIQUE AND IROKO IN THE ROUGH, WHETHER OR NOT STRIPPED OF BARK OR SAPWOOD, OR ROUGHLY SQUARED (EXCL. ROUGH-CUT WOOD FOR WALKING STICKS, UMBRELLAS, TOOL SHAFTS AND THE LIKE; WOOD CUT INTO BOARDS OR BEAMS, ETC.; WOOD TREATED WITH PAINT, S",1
"BB","44034920","Logs","Tropical hardwood","OKOUM+?, IN THE ROUGH, WHETHER OR NOT STRIPPED OF BARK OR SAPWOOD, OR ROUGHLY SQUARED (EXCL. ROUGH-CUT WOOD FOR WALKING STICKS, UMBRELLAS, TOOL SHAFTS AND THE LIKE; WOOD CUT INTO BOARDS OR BEAMS, ETC.; WOOD TREATED WITH PAINT, STAINS, CREOSOTE OR OTHER PR",1
"BB","44034935","Logs","Tropical hardwood","OKOUM+? AND SIPO IN THE ROUGH, WHETHER OR NOT STRIPPED OF BARK OR SAPWOOD, OR ROUGHLY SQUARED (EXCL. ROUGH-CUT WOOD FOR WALKING STICKS, UMBRELLAS, TOOL SHAFTS AND THE LIKE; WOOD CUT INTO BOARDS OR BEAMS, ETC.; WOOD TREATED WITH PAINT, STAINS, CREOSOTE OR",1
"BB","44034940","Logs","Tropical hardwood","SIPO IN THE ROUGH, WHETHER OR NOT STRIPPED OF BARK OR SAPWOOD, OR ROUGHLY SQUARED (EXCL. ROUGH-CUT WOOD FOR WALKING STICKS, UMBRELLAS, TOOL SHAFTS AND THE LIKE; WOOD CUT INTO BOARDS OR BEAMS, ETC.; WOOD TREATED WITH PAINT, STAINS, CREOSOTE OR OTHER PRESER",1
"BB","44034980","Logs","Tropical hardwood","'ABURA, AFRORMOSIA, AKO, ALAN, ANDIROBA, ANINGRE, AVODIRE, AZOBE, BALAU, BALSA, BOSSE CLAIR, BOSSE FONCE, CATIVO, CEDRO, DABEMA, DIBETOU, DOUSSIE, FRAMIRE, FREIJO, FROMAGER, FUMA, GERONGGANG, ILOMBA, IMBUA, IPE, JABOTY, JELUTONG, JEQUITIBA, JONGKONG, KAPU",1
"BB","44034985","Logs","Tropical hardwood","TROPICAL WOOD IN THE ROUGH, WHETHER OR NOT STRIPPED OF BARK OR SAPWOOD, OR ROUGHLY SQUARED (EXCL. ACAJOU D'AFRIQUE, IROKO, SAPELLI, OKOUME AND SIPO; ROUGH-CUT WOOD FOR WALKING STICKS, UMBRELLAS, TOOL SHAFTS AND THE LIKE; WOOD CUT INTO BOARDS OR BEAMS, ETC",1
"BB","44034995","Logs","Tropical hardwood","ABURA, AFRORMOSIA, AKO, ALAN, ANDIROBA, ANINGR+?, AVODIR+?, AZOB+?, BALAU, BALSA, BOSS+? CLAIR, BOSS+? FONC+?, CATIVO, CEDRO, DABEMA, DIB+?TOU, DOUSSI+?, FRAMIR+?, FREIJO, FROMAGER, FUMA, GERONGGANG, ILOMBA, IMBUIA, IP+?, JABOTY, JELUTONG, JEQUITIBA, JONG",1
"BC","44039100","Logs","Other hardwood","OAK ""QUERCUS SPP."" IN THE ROUGH, WHETHER OR NOT STRIPPED OF BARK OR SAPWOOD, OR ROUGHLY SQUARED (EXCL. ROUGH-CUT WOOD FOR WALKING STICKS, UMBRELLAS, TOOL SHAFTS AND THE LIKE; WOOD IN THE FORM OF RAILWAY SLEEPERS; WOOD CUT INTO BOARDS OR BEAMS, ETC.; WOOD",1
"BC","44039110","Logs","Other hardwood","SAWLOGS OF OAK ""QUERCUS SPP."", WHETHER OR NOT STRIPPED OF BARK OR SAPWOOD, OR ROUGHLY SQUARED",1
"BC","44039190","Logs","Other hardwood","OAK ""QUERCUS SPP."" IN THE ROUGH, WHETHER OR NOT STRIPPED OF BARK OR SAPWOOD, OR ROUGHLY SQUARED (EXCL. SAWLOGS; ROUGH-CUT WOOD FOR WALKING STICKS, UMBRELLAS, TOOL SHAFTS AND THE LIKE; WOOD IN THE FORM OF RAILWAY SLEEPERS; WOOD CUT INTO BOARDS OR BEAMS, ET",1
"BC","44039200","Logs","Other hardwood","BEECH 'FAGUS SPP.' IN THE ROUGH, WHETHER OR NOT STRIPPED OF BARK OR SAPWOOD, OR ROUGHLY SQUARED (EXCL. ROUGH-CUT WOOD FOR WALKING STICKS, UMBRELLAS, TOOL SHAFTS AND THE LIKE; WOOD IN THE FORM OF RAILWAY SLEEPERS; WOOD CUT INTO BOARDS OR BEAMS, ETC.; WOOD",1
"BC","44039210","Logs","Other hardwood","SAWLOGS OF BEECH ""FAGUS SPP."", WHETHER OR NOT STRIPPED OF BARK OR SAPWOOD, OR ROUGHLY SQUARED",1
"BC","44039290","Logs","Other hardwood","BEECH ""FAGUS SPP."" IN THE ROUGH, WHETHER OR NOT STRIPPED OF BARK OR SAPWOOD, OR ROUGHLY SQUARED (EXCL. SAWLOGS; ROUGH-CUT WOOD FOR WALKING STICKS, UMBRELLAS, TOOL SHAFTS AND THE LIKE; WOOD IN THE FORM OF RAILWAY SLEEPERS; WOOD CUT INTO BOARDS OR BEAMS, ET",1
"BC","44039300","Logs","Other hardwood","BEECH ""FAGUS SPP."" IN THE ROUGH, OF WHICH ANY CROSS-SECTIONAL DIMENSION IS =>15 CM, WHETHER OR NOT STRIPPED OF BARK OR SAPWOOD, OR ROUGHLY SQUARED (EXCL. WOOD IN THE FORM OF RAILWAY SLEEPERS; WOOD CUT INTO BEAMS, ETC.; WOOD TREATED WITH PAINT, STAINS, CRE",1
"BC","44039400","Logs","Other hardwood","BEECH ""FAGUS SPP."" IN THE ROUGH, OF WHICH NO CROSS-SECTIONAL DIMENSION IS =>15 CM, WHETHER OR NOT STRIPPED OF BARK OR SAPWOOD, OR ROUGHLY SQUARED (EXCL. ROUGH-CUT WOOD FOR WALKING STICKS, UMBRELLAS, TOOL SHAFTS AND THE LIKE; WOOD IN THE FORM OF RAILWAY SL",1
"BC","44039510","Logs","Other hardwood","SAWLOGS OF BIRCH ""BETULA SPP."", OF WHICH ANY CROSS-SECTIONAL DIMENSION IS =>15 CM, WHETHER OR NOT STRIPPED OF BARK OR SAPWOOD, OR ROUGHLY SQUARED",1
"BC","44039590","Logs","Other hardwood","BIRCH ""BETULA SPP."" IN THE ROUGH, OF WHICH ANY CROSS-SECTIONAL DIMENSION IS =>15 CM, WHETHER OR NOT STRIPPED OF BARK OR SAPWOOD, OR ROUGHLY SQUARED (EXCL. SAWLOGS; WOOD IN THE FORM OF RAILWAY SLEEPERS; WOOD CUT INTO BEAMS, ETC.; WOOD TREATED WITH PAINT, S",1
"BC","44039600","Logs","Other hardwood","BIRCH ""BETULA SPP."" IN THE ROUGH, OF WHICH NO CROSS-SECTIONAL DIMENSION IS =>15 CM, WHETHER OR NOT STRIPPED OF BARK OR SAPWOOD, OR ROUGHLY SQUARED (EXCL. ROUGH-CUT WOOD FOR WALKING STICKS, UMBRELLAS, TOOL SHAFTS AND THE LIKE; WOOD IN THE FORM OF RAILWAY S",1
"BC","44039700","Logs","Other hardwood","POPLAR AND ASPEN ""POPULUS SPP."" IN THE ROUGH, WHETHER OR NOT STRIPPED OF BARK OR SAPWOOD, OR ROUGHLY SQUARED (EXCL. ROUGH-CUT WOOD FOR WALKING STICKS, UMBRELLAS, TOOL SHAFTS AND THE LIKE; WOOD IN THE FORM OF RAILWAY SLEEPERS; WOOD CUT INTO BOARDS OR BEAMS",1
"BC","44039800","Logs","Other hardwood","EUCALYPTUS ""EUCALYPTUS SPP."" IN THE ROUGH, WHETHER OR NOT STRIPPED OF BARK OR SAPWOOD, OR ROUGHLY SQUARED (EXCL. ROUGH-CUT WOOD FOR WALKING STICKS, UMBRELLAS, TOOL SHAFTS AND THE LIKE; WOOD IN THE FORM OF RAILWAY SLEEPERS; WOOD CUT INTO BOARDS OR BEAMS, E",1
"BC","44039900","Logs","Other hardwood","WOOD IN THE ROUGH, WHETHER OR NOT STRIPPED OF BARK OR SAPWOOD, OR ROUGHLY SQUARED (EXCL. ROUGH-CUT WOOD FOR WALKING STICKS, UMBRELLAS, TOOL SHAFTS AND THE LIKE; WOOD CUT INTO BOARDS OR BEAMS, ETC.; WOOD TREATED WITH PAINT, STAINS, CREOSOTE OR OTHER PRESER",1
"BC","44039910","Logs","Other hardwood","POPLAR IN THE ROUGH, WHETHER OR NOT STRIPPED OF BARK OR SAPWOOD, OR ROUGHLY SQUARED (EXCL. ROUGH-CUT WOOD FOR WALKING STICKS, UMBRELLAS, TOOL SHAFTS AND THE LIKE; WOOD CUT INTO BOARDS OR BEAMS, ETC.; WOOD TREATED WITH PAINT, STAINS, CREOSOTE OR OTHER PRES",1
"BC","44039930","Logs","Other hardwood","EUCALYPTUS WOOD IN THE ROUGH, WHETHER OR NOT STRIPPED OF BARK OR SAPWOOD, OR ROUGHLY SQUARED (EXCL. ROUGH-CUT WOOD FOR WALKING STICKS, UMBRELLAS, TOOL SHAFTS AND THE LIKE; WOOD CUT INTO BOARDS OR BEAMS, ETC.; WOOD TREATED WITH PAINT, STAINS, CREOSOTE OR O",1
"BC","44039950","Logs","Other hardwood","BIRCH, IN THE ROUGH, WHETHER OR NOT STRIPPED OF BARK OR SAPWOOD, OR ROUGHLY SQUARED (EXCL. ROUGH-CUT WOOD FOR WALKING STICKS, UMBRELLAS, TOOL SHAFTS AND THE LIKE; WOOD CUT INTO BOARDS OR BEAMS, ETC.; WOOD TREATED WITH PAINT, STAINS, CREOSOTE OR OTHER PRES",1
"BC","44039951","Logs","Other hardwood","SAWLOGS OF BIRCH, WHETHER OR NOT STRIPPED OF BARK OR SAPWOOD, OR ROUGHLY SQUARED",1
"BC","44039959","Logs","Other hardwood","BIRCH, IN THE ROUGH, WHETHER OR NOT STRIPPED OF BARK OR SAPWOOD, OR ROUGHLY SQUARED (EXCL. SAWLOGS; ROUGH-CUT WOOD FOR WALKING STICKS, UMBRELLAS, TOOL SHAFTS AND THE LIKE; WOOD CUT INTO BOARDS OR BEAMS, ETC.; WOOD TREATED WITH PAINT, STAINS, CREOSOTE OR O",1
"BC","44039995","Logs","Other hardwood","WOOD IN THE ROUGH, WHETHER OR NOT STRIPPED OF BARK OR SAPWOOD, OR ROUGHLY SQUARED (EXCL. ROUGH-CUT WOOD FOR WALKING STICKS, UMBRELLAS, TOOL SHAFTS AND THE LIKE; WOOD CUT INTO BOARDS OR BEAMS, ETC.; WOOD TREATED WITH PAINT, STAINS, CREOSOTE OR OTHER PRESER",1
"BC","44039998","Logs","Other hardwood","'WOOD IN THE ROUGH, WHETHER OR NOT STRIPPED OF BARK OR SAPWOOD, OR ROUGHLY SQUARED (EXCL. ROUGH-CUT WOOD FOR WALKING STICKS, UMBRELLAS, TOOL SHAFTS AND THE LIKE; WOOD CUT INTO BOARDS OR BEAMS, ETC.; WOOD TREATED WITH PAINT, STAINS, CREOSOTE OR OTHER PRESE",1
"BD","44031000","Logs","Softwood","WOOD IN THE ROUGH, TREATED WITH PAINT, STAINS, CREOSOTE OR OTHER PRESERVATIVES (EXCL. ROUGH-CUT WOOD FOR WALKING STICKS, UMBRELLAS, TOOL SHAFTS AND THE LIKE; WOOD IN THE FORM OF RAILWAY SLEEPERS; WOOD CUT INTO BOARDS OR BEAMS, ETC.)",1
"BD","44031100","Logs","Softwood","WOOD IN THE ROUGH, TREATED WITH PAINT, STAINS, CREOSOTE OR OTHER PRESERVATIVES, CONIFEROUS (EXCL. ROUGH-CUT WOOD FOR WALKING STICKS, UMBRELLAS, TOOL SHAFTS AND THE LIKE; WOOD IN THE FORM OF RAILWAY SLEEPERS; WOOD CUT INTO BOARDS OR BEAMS, ETC.)",1
"BD","44031200","Logs","Softwood","WOOD IN THE ROUGH, TREATED WITH PAINT, STAINS, CREOSOTE OR OTHER PRESERVATIVES, NON-CONIFEROUS (EXCL. ROUGH-CUT WOOD FOR WALKING STICKS, UMBRELLAS, TOOL SHAFTS AND THE LIKE; WOOD IN THE FORM OF RAILWAY SLEEPERS; WOOD CUT INTO BOARDS OR BEAMS, ETC.)",1
"BD","44032010","Logs","Softwood","SPRUCE OF THE KIND 'PICEA ABIES KARST.' OR SILVER FIR 'ABIES ALBA MILL.', IN THE ROUGH, WHETHER OR NOT STRIPPED OF BARK OR SAPWOOD, OR ROUGHLY SQUARED (EXCL. ROUGH-CUT WOOD FOR WALKING STICKS, UMBRELLAS, TOOL SHAFTS AND THE LIKE; WOOD IN THE FORM OF RAILW",1
"BD","44032011","Logs","Softwood","SAWLOGS OF SPRUCE OF THE SPECIES ""PICEA ABIES KARST."" OR SILVER FIR ""ABIES ALBA MILL."", WHETHER OR NOT STRIPPED OF BARK OR SAPWOOD, OR ROUGHLY SQUARED",1
"BD","44032019","Logs","Softwood","SPRUCE OF THE SPECIES ""PICEA ABIES KARST."" OR SILVER FIR ""ABIES ALBA MILL."", IN THE ROUGH, WHETHER OR NOT STRIPPED OF BARK OR SAPWOOD, OR ROUGHLY SQUARED (EXCL. SAWLOGS; ROUGH-CUT WOOD FOR WALKING STICKS, UMBRELLAS, TOOL SHAFTS AND THE LIKE; WOOD IN THE F",1
"BD","44032030","Logs","Softwood","PINE OF THE KIND 'PINUS SYLVESTRIS L.' IN THE ROUGH, WHETHER OR NOT STRIPPED OF BARK OR SAPWOOD, OR ROUGHLY SQUARED (EXCL. ROUGH-CUT WOOD FOR WALKING STICKS, UMBRELLAS, TOOL SHAFTS AND THE LIKE; WOOD IN THE FORM OF RAILWAY SLEEPERS; WOOD CUT INTO BOARDS O",1
"BD","44032031","Logs","Softwood","SAWLOGS OF PINE OF THE SPECIES ""PINUS SYLVESTRIS L."", WHETHER OR NOT STRIPPED OF BARK OR SAPWOOD, OR ROUGHLY SQUARED",1
"BD","44032039","Logs","Softwood","PINE OF THE SPECIES ""PINUS SYLVESTRIS L."" IN THE ROUGH, WHETHER OR NOT STRIPPED OF BARK OR SAPWOOD, OR ROUGHLY SQUARED (EXCL. SAWLOGS; ROUGH-CUT WOOD FOR WALKING STICKS, UMBRELLAS, TOOL SHAFTS AND THE LIKE; WOOD IN THE FORM OF RAILWAY SLEEPERS; WOOD CUT I",1
"BD","44032090","Logs","Softwood","CONIFEROUS WOOD IN THE ROUGH, WHETHER OR NOT STRIPPED OF BARK OR SAPWOOD, OR ROUGHLY SQUARED (EXCL. ROUGH-CUT WOOD FOR WALKING STICKS, UMBRELLAS, TOOL SHAFTS AND THE LIKE; WOOD IN THE FORM OF RAILWAY SLEEPERS; WOOD CUT INTO BOARDS OR BEAMS, ETC.; WOOD TRE",1
"BD","44032091","Logs","Softwood","SAWLOGS OF CONIFEROUS WOOD, WHETHER OR NOT STRIPPED OF BARK OR SAPWOOD, OR ROUGHLY SQUARED (EXCL. SPRUCE OF THE SPECIES ""PICEA ABIES KARST."", SILVER FIR ""ABIES ALBA MILL."" AND PINE OF THE SPECIES ""PINUS SYLVESTRIS L."")",1
"BD","44032099","Logs","Softwood","CONIFEROUS WOOD IN THE ROUGH, WHETHER OR NOT STRIPPED OF BARK OR SAPWOOD, OR ROUGHLY SQUARED (EXCL. SAWLOGS; ROUGH-CUT WOOD FOR WALKING STICKS, UMBRELLAS, TOOL SHAFTS AND THE LIKE; WOOD IN THE FORM OF RAILWAY SLEEPERS; WOOD CUT INTO BOARDS OR BEAMS, ETC.;",1
