"order","vpagroup","partner","partnercode"
"AA","FLEGT licensing","All licensing partners","AAAA"
"AB","FLEGT licensing","Indonesia","0700"
"BA","VPA implementing","All implementing partners","BBBB"
"BB","VPA implementing","Cameroon","0302"
"BC","VPA implementing","Cent. Afr. Rp.","0306"
"BD","VPA implementing","Congo","0318"
"BE","VPA implementing","Ghana","0276"
"BF","VPA implementing","Liberia","0268"
"CA","VPA negotiating","All negotiating partners","CCCC"
"CC","VPA negotiating","Congo DR","0322"
"CD","VPA negotiating","C?te d'Ivoire","0272"
"CE","VPA negotiating","Gabon","0314"
"CF","VPA negotiating","Guyana","0488"
"CG","VPA negotiating","Honduras","0424"
"CH","VPA negotiating","Lao PDR","0684"
"CI","VPA negotiating","Malaysia","0701"
"CJ","VPA negotiating","Thailand","0680"
"CK","VPA negotiating","Viet Nam","0690"
"CK","VPA negotiating","Summy","A0690"
